symptoms,predicted_disease,otc_medication,recommendation
shortness of breath,Asthma,Inhaler,Avoid triggers and seek medical advice.
headache and nausea,Migraine,Ibuprofen,Avoid bright lights and get rest.
abdominal pain,Gastritis,Antacids,Avoid spicy food and consult a gastroenterologist.
headache and nausea,Migraine,Ibuprofen,Avoid bright lights and get rest.
back pain,Slip Disc,Ibuprofen,Rest and avoid lifting heavy objects.
low blood pressure,Hypotension,Fluids and Salt,Eat small meals and rise slowly.
headache and nausea,Migraine,Ibuprofen,Avoid bright lights and get rest.
headache and nausea,Migraine,Ibuprofen,Avoid bright lights and get rest.
back pain,Slip Disc,Ibuprofen,Rest and avoid lifting heavy objects.
dizziness,Vertigo,Meclizine,"Lie down in a dark, quiet room."
joint pain,Arthritis,Naproxen,Exercise regularly and consult a specialist.
weight loss and fatigue,Cancer,Consult Oncologist,Seek immediate professional help.
sore throat and fever,Tonsillitis,Lozenges,Drink warm fluids and gargle with salt water.
joint pain,Arthritis,Naproxen,Exercise regularly and consult a specialist.
headache and nausea,Migraine,Ibuprofen,Avoid bright lights and get rest.
joint pain,Arthritis,Naproxen,Exercise regularly and consult a specialist.
sore throat and fever,Tonsillitis,Lozenges,Drink warm fluids and gargle with salt water.
high blood sugar,Diabetes,Metformin,Monitor blood sugar and follow diet plan.
dry cough,Bronchitis,Cough syrup,Avoid smoke and get plenty of rest.
skin rash,Allergy,Antihistamines,Avoid known allergens and apply soothing lotion.
fever and cough,Flu,Paracetamol,Stay hydrated and rest. Consult a doctor if symptoms persist.
dry cough,Bronchitis,Cough syrup,Avoid smoke and get plenty of rest.
dry cough,Bronchitis,Cough syrup,Avoid smoke and get plenty of rest.
weight loss and fatigue,Cancer,Consult Oncologist,Seek immediate professional help.
joint pain,Arthritis,Naproxen,Exercise regularly and consult a specialist.
skin rash,Allergy,Antihistamines,Avoid known allergens and apply soothing lotion.
shortness of breath,Asthma,Inhaler,Avoid triggers and seek medical advice.
headache and nausea,Migraine,Ibuprofen,Avoid bright lights and get rest.
sore throat and fever,Tonsillitis,Lozenges,Drink warm fluids and gargle with salt water.
chest pain,Heart Disease,Aspirin (only under doctor supervision),Seek immediate medical attention.
headache and nausea,Migraine,Ibuprofen,Avoid bright lights and get rest.
dry cough,Bronchitis,Cough syrup,Avoid smoke and get plenty of rest.
chest pain,Heart Disease,Aspirin (only under doctor supervision),Seek immediate medical attention.
abdominal pain,Gastritis,Antacids,Avoid spicy food and consult a gastroenterologist.
blurred vision,Glaucoma,Prescription eye drops,Visit an ophthalmologist.
low blood pressure,Hypotension,Fluids and Salt,Eat small meals and rise slowly.
dry cough,Bronchitis,Cough syrup,Avoid smoke and get plenty of rest.
dry cough,Bronchitis,Cough syrup,Avoid smoke and get plenty of rest.
dry cough,Bronchitis,Cough syrup,Avoid smoke and get plenty of rest.
abdominal pain,Gastritis,Antacids,Avoid spicy food and consult a gastroenterologist.
back pain,Slip Disc,Ibuprofen,Rest and avoid lifting heavy objects.
skin rash,Allergy,Antihistamines,Avoid known allergens and apply soothing lotion.
blurred vision,Glaucoma,Prescription eye drops,Visit an ophthalmologist.
fever and cough,Flu,Paracetamol,Stay hydrated and rest. Consult a doctor if symptoms persist.
back pain,Slip Disc,Ibuprofen,Rest and avoid lifting heavy objects.
skin rash,Allergy,Antihistamines,Avoid known allergens and apply soothing lotion.
weight loss and fatigue,Cancer,Consult Oncologist,Seek immediate professional help.
blurred vision,Glaucoma,Prescription eye drops,Visit an ophthalmologist.
dry cough,Bronchitis,Cough syrup,Avoid smoke and get plenty of rest.
weight loss and fatigue,Cancer,Consult Oncologist,Seek immediate professional help.
headache and nausea,Migraine,Ibuprofen,Avoid bright lights and get rest.
low blood pressure,Hypotension,Fluids and Salt,Eat small meals and rise slowly.
chest pain,Heart Disease,Aspirin (only under doctor supervision),Seek immediate medical attention.
abdominal pain,Gastritis,Antacids,Avoid spicy food and consult a gastroenterologist.
blurred vision,Glaucoma,Prescription eye drops,Visit an ophthalmologist.
high blood sugar,Diabetes,Metformin,Monitor blood sugar and follow diet plan.
high blood sugar,Diabetes,Metformin,Monitor blood sugar and follow diet plan.
sore throat and fever,Tonsillitis,Lozenges,Drink warm fluids and gargle with salt water.
blurred vision,Glaucoma,Prescription eye drops,Visit an ophthalmologist.
high blood sugar,Diabetes,Metformin,Monitor blood sugar and follow diet plan.
back pain,Slip Disc,Ibuprofen,Rest and avoid lifting heavy objects.
sore throat and fever,Tonsillitis,Lozenges,Drink warm fluids and gargle with salt water.
fever and cough,Flu,Paracetamol,Stay hydrated and rest. Consult a doctor if symptoms persist.
blurred vision,Glaucoma,Prescription eye drops,Visit an ophthalmologist.
shortness of breath,Asthma,Inhaler,Avoid triggers and seek medical advice.
joint pain,Arthritis,Naproxen,Exercise regularly and consult a specialist.
sore throat and fever,Tonsillitis,Lozenges,Drink warm fluids and gargle with salt water.
headache and nausea,Migraine,Ibuprofen,Avoid bright lights and get rest.
chest pain,Heart Disease,Aspirin (only under doctor supervision),Seek immediate medical attention.
fever and cough,Flu,Paracetamol,Stay hydrated and rest. Consult a doctor if symptoms persist.
joint pain,Arthritis,Naproxen,Exercise regularly and consult a specialist.
dizziness,Vertigo,Meclizine,"Lie down in a dark, quiet room."
dizziness,Vertigo,Meclizine,"Lie down in a dark, quiet room."
fever and cough,Flu,Paracetamol,Stay hydrated and rest. Consult a doctor if symptoms persist.
weight loss and fatigue,Cancer,Consult Oncologist,Seek immediate professional help.
headache and nausea,Migraine,Ibuprofen,Avoid bright lights and get rest.
abdominal pain,Gastritis,Antacids,Avoid spicy food and consult a gastroenterologist.
high blood sugar,Diabetes,Metformin,Monitor blood sugar and follow diet plan.
chest pain,Heart Disease,Aspirin (only under doctor supervision),Seek immediate medical attention.
headache and nausea,Migraine,Ibuprofen,Avoid bright lights and get rest.
chest pain,Heart Disease,Aspirin (only under doctor supervision),Seek immediate medical attention.
skin rash,Allergy,Antihistamines,Avoid known allergens and apply soothing lotion.
weight loss and fatigue,Cancer,Consult Oncologist,Seek immediate professional help.
shortness of breath,Asthma,Inhaler,Avoid triggers and seek medical advice.
dizziness,Vertigo,Meclizine,"Lie down in a dark, quiet room."
back pain,Slip Disc,Ibuprofen,Rest and avoid lifting heavy objects.
weight loss and fatigue,Cancer,Consult Oncologist,Seek immediate professional help.
chest pain,Heart Disease,Aspirin (only under doctor supervision),Seek immediate medical attention.
abdominal pain,Gastritis,Antacids,Avoid spicy food and consult a gastroenterologist.
dry cough,Bronchitis,Cough syrup,Avoid smoke and get plenty of rest.
back pain,Slip Disc,Ibuprofen,Rest and avoid lifting heavy objects.
headache and nausea,Migraine,Ibuprofen,Avoid bright lights and get rest.
fever and cough,Flu,Paracetamol,Stay hydrated and rest. Consult a doctor if symptoms persist.
headache and nausea,Migraine,Ibuprofen,Avoid bright lights and get rest.
sore throat and fever,Tonsillitis,Lozenges,Drink warm fluids and gargle with salt water.
weight loss and fatigue,Cancer,Consult Oncologist,Seek immediate professional help.
high blood sugar,Diabetes,Metformin,Monitor blood sugar and follow diet plan.
fever and cough,Flu,Paracetamol,Stay hydrated and rest. Consult a doctor if symptoms persist.
blurred vision,Glaucoma,Prescription eye drops,Visit an ophthalmologist.
back pain,Slip Disc,Ibuprofen,Rest and avoid lifting heavy objects.
high blood sugar,Diabetes,Metformin,Monitor blood sugar and follow diet plan.
